id,nombre,distrito,lat,lon,x_m,y_m,altitud_m,col,fila,funerario
144,Lundayani,juli,-16.274154832,-69.469854622,-759.1,-4290.6,3941.3,870,934,False
145,Lundayani Monticulo 1,juli,-16.273508282,-69.467906421,-551.1,-4218.7,3949.8,877,932,False
146,Lundayani Montículo 2,juli,-16.274367636,-69.467646405,-523.4,-4314.3,3956.9,878,935,False
147,Lundayani Montículo 3,juli,-16.274693583,-69.467413201,-498.5,-4350.5,3960.8,879,936,False
148,Lundayani Montículo 4,juli,-16.274097312,-69.467252688,-481.3,-4284.2,3959.4,880,934,False
149,Lundayani Montículo 5,juli,-16.273689759,-69.467598005,-518.2,-4238.9,3953.7,878,933,False
150,C´camaq Apacheta Montículo 1,juli,-16.250992478,-69.470941231,-875.1,-1715.1,3858.3,866,851,False
151,Ccamaq Apacheta Montículo 2,juli,-16.250337243,-69.468834153,-650.2,-1642.2,3862.5,874,848,False
152,Pucara Sullicane,juli,-16.250839523,-69.470745827,-854.3,-1698.0,3859.0,867,850,False
153,Guitarrani,juli,-16.228242279,-69.461343159,149.6,814.7,3918.0,901,769,False
154,Pucara Juli,juli,-16.235632308,-69.471634541,-949.2,-7.1,4331.9,864,796,False
155,Huancarani,juli,-16.239476061,-69.482872502,-2148.9,-434.5,3888.0,823,809,False
156,Pucara Sullicane Chullpa 1,juli,-16.246616592,-69.471220903,-905.0,-1228.5,3895.9,865,835,True
157,Pucara Sullicane Chullpa 2,juli,-16.246814947,-69.471455318,-930.0,-1250.5,3885.1,864,836,True
158,Pucara Sullicane Chullpa 3,juli,-16.247068685,-69.471175191,-900.1,-1278.7,3877.3,865,837,True
159,Pucara Sullicane Chullpa 4,juli,-16.246666408,-69.46503559,-244.7,-1234.0,3898.3,888,835,True
160,Choquejawe Yacari,juli,-16.226762171,-69.460226258,268.8,979.2,3923.5,905,764,False
161,Yacari Jaquecucho,juli,-16.234092747,-69.447891907,1585.6,164.1,4200.6,949,790,False
162,Yacari Tisnachuro Chullpa,juli,-16.241995026,-69.447198615,1659.6,-714.6,4018.7,952,818,True
163,Yacari Condoruta,juli,-16.234446799,-69.447181566,1661.5,124.7,4276.3,952,791,False
164,Huancancareni Pattha,juli,-16.260380665,-69.456317785,686.1,-2759.0,3942.5,919,885,False
165,Casarpujo,juli,-16.250695689,-69.449417385,1422.8,-1682.1,3942.8,944,850,False
166,Yacari Tisnachuro,juli,-16.251008264,-69.451214815,1230.9,-1716.8,3936.2,937,851,False
167,Huancarane Pampa,juli,-16.253985089,-69.458371154,466.8,-2047.8,3900.4,912,862,False
