nombre,provincia,distrito,lat,lon,fuente,funerario
Tisnachuro Central Montículo 2,chucuito,juli,-16.270689264,-69.459008855,INC,False
Wilamoko Pampa,chucuito,juli,-16.250687426,-69.461676204,INC,False
Willamoco de Tisnachuro  Vista Azul,chucuito,juli,-16.250612638,-69.462808334,INC,False
Wilamoko Tumba,chucuito,juli,-16.251123878,-69.460507485,INC,False
Wilamoko Ccamaq Apacheta - Cementerio,chucuito,juli,-16.250893458,-69.466664441,INC,False
Wilamoko Ccamaq Apacheta -Tumba,chucuito,juli,-16.250525359,-69.465512555,INC,False
Tirincollo,chucuito,juli,-16.208047156,-69.477762479,INC,False
Yacari Murallas,chucuito,juli,-16.236077309,-69.445594522,INC,False
Wilq´e,chucuito,juli,-16.228082643,-69.447232696,INC,False
Wiscachani  San Bartolomé,chucuito,juli,-16.192252464,-69.436692858,INC,False
Capilla Caracollo,chucuito,juli,-16.223003039,-69.451132285,INC,False
Alatauyo Naironaque 1,chucuito,juli,-16.219124467,-69.451357367,INC,False
Alatauyo  Naironaque 2,chucuito,juli,-16.218627277,-69.451356236,INC,False
Tisnachuro Central Montículo 3,chucuito,juli,-16.270354773,-69.459017437,INC,False
Jach`a Piñuta - Cementerio 1,chucuito,juli,-16.267438726,-69.461425203,INC,False
Jach`a Piñuta - Cementerio 2,chucuito,juli,-16.266482041,-69.460721071,INC,False
Jiska Piñuta - Estructura,chucuito,juli,-16.266386828,-69.458774254,INC,False
Jisk`a Piñuta Montículo,chucuito,juli,-16.266925047,-69.456520067,INC,False
Challuco,chucuito,juli,-16.269095536,-69.45608522,INC,False
Jiska Piñuta - Cementerio,chucuito,juli,-16.27043342,-69.456088308,INC,False
Jach´a Piñuta - Cementerio 3,chucuito,juli,-16.268241917,-69.462044753,INC,False
Quilcane Montículo 1,chucuito,juli,-16.277763283,-69.469142551,INC,False
Willamoco o Gentilmoco,chucuito,juli,-16.283934175,-69.470617289,INC,True
Quilcane Montículo 2,chucuito,juli,-16.280282251,-69.470552428,INC,False
Quilcane Montículo 3,chucuito,juli,-16.277315972,-69.471106907,INC,False
Pichocollo,chucuito,juli,-16.27612206,-69.471403549,INC,False
Gentilpata de Lundayani,chucuito,juli,-16.270790893,-69.478438019,INC,True
Pichocollo Chullpa,chucuito,juli,-16.274374199,-69.472831305,INC,True
Lundayani,chucuito,juli,-16.274154832,-69.469854622,INC,False
Lundayani Monticulo 1,chucuito,juli,-16.273508282,-69.467906421,INC,False
Lundayani Montículo 2,chucuito,juli,-16.274367636,-69.467646405,INC,False
Lundayani Montículo 3,chucuito,juli,-16.274693583,-69.467413201,INC,False
Lundayani Montículo 4,chucuito,juli,-16.274097312,-69.467252688,INC,False
Lundayani Montículo 5,chucuito,juli,-16.273689759,-69.467598005,INC,False
C´camaq Apacheta Montículo 1,chucuito,juli,-16.250992478,-69.470941231,INC,False
Ccamaq Apacheta Montículo 2,chucuito,juli,-16.250337243,-69.468834153,INC,False
Pucara Sullicane,chucuito,juli,-16.250839523,-69.470745827,INC,False
